,product,price_coefficient,product_desc
3482,854012,912.5124516445826,"Tubes: cathode-ray television picture tubes, including video monitor cathode-ray tubes, monochrome"
410,90710,775.1659111047055,"Spices: cloves (whole fruit, cloves and stems), neither crushed nor ground"
1171,71440,743.5521452393017,"Vegetable roots and tubers: taro (Colocasia spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
4323,120300,708.3976827786129,Copra
5113,30784,580.0809540788216,"Molluscs: stromboid conchs (Strombus spp.), whether in shell or not, frozen"
5114,30484,552.9833536790672,"Fish fillets: frozen, swordfish (Xiphias gladius)"
1161,50800,475.8227071768901,"Animal products: coral and similar materials, shells of molluscs, crustaceans, echinoderms, cuttle-bone, unworked or simply prepared but not cut to shape, powder and waste thereof"
4201,30344,418.8683799448673,"Fish: frozen, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
5359,290434,386.72320880231786,"Derivatives of hydrocarbons: potassium perfluorooctane sulphonate, whether or not halogenated"
5347,293060,331.8534971603647,"Organo-sulphur compounds: 2-(N,N-Diethylamino)ethanethiol"
1170,71430,328.36623418316367,"Vegetable roots and tubers: yams (Dioscorea spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
400,30232,310.7471472236276,"Fish: fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
4078,30341,293.4802775579896,"Fish: frozen, albacore or longfinned tunas (Thunnus alalunga), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
1898,30449,272.46232246055035,"Fish fillets: fresh or chilled, other than fish of heading 0304.4"
5200,290431,252.3520805557176,"Derivatives of hydrocarbons: perfluorooctane sulphonic acid, whether or not halogenated"
3500,30357,251.02794058344682,"Fish: frozen, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
4448,90520,232.33464356235334,"Spices: vanilla, crushed or ground"
721,430130,217.67540307667403,"Furskins: raw, of Astrakhan, Broadtail, Caracul, Persian and similar lamb, Indian, Chinese, Mongolian or Tibetan lamb, whole, with or without head, tail or paws"
5276,293292,211.72768862509415,"Heterocyclic compounds: with oxygen hetero-atom(s) only, (other than lactones or compounds containing an unfused furan ring (whether or not hydrogenated) in the structure), 1-(1,3-benzodiaxol-5-yl) propan-2-one"
4765,30343,203.40971832778135,"Fish: frozen, skipjack or stripe-bellied bonito, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
4447,30890,202.85983251408786,"Aquatic invertebrates: other than crustaceans, molluscs, sea urchins, sea cucumbers and jellyfish, live, fresh, chilled, frozen, dried, salted or in brine, smoked, cooked or not before or during smoking, includes edible flours, meals, and pellets"
5330,293963,190.2753825504106,"Alkaloids: of rye ergot and their derivatives, lysergic acid and its salts"
5110,71450,183.60940671048394,"Vegetable roots and tubers: yautia (Xanthosoma spp.) with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets"
5297,30457,177.4399769503327,"Fish meat: excluding fillets, whether or not minced: fresh or chilled, rays and skates (Rajidae)"
4446,30119,167.24680991581374,"Fish: live, ornamental, other than freshwater"
2229,30381,148.32381352140607,"Fish: frozen, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
258,80270,135.18234025163878,"Nuts, edible: kola nuts (Cola spp.), fresh or dried, whether or not shelled or peeled"
5284,290381,129.68912065162607,"Halogenated derivatives of cyclanic, cyclenic or cycloterpenic hydrocarbons: 1,2,3,4,5,6-Hexachlorocyclohexane (HCH (ISO)), including lindane (ISO, INN)"
728,70993,120.47863988800317,"Vegetables: pumpkins, squash and gourds (Cucurbita spp.), fresh or chilled"
5299,30496,120.2632214415663,"Fish meat, excluding fillets, whether or not minced: frozen, dogfish and other sharks"
4203,71334,109.07804494003688,"Vegetables, leguminous: bambara beans (Vigna subterranea or Voandzeia subterranea), shelled, whether or not skinned or split, dried"
4782,890800,108.78316713212874,Vessels and other floating structures: for breaking up
4338,30463,108.35525926964888,"Fish fillets: frozen, Nile Perch (Lates niloticus)"
745,140120,105.52155681686442,Rattans used primarily for plaiting
603,252610,102.04135333882085,"Steatite: natural, (not crushed or powdered), whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape: talc"
3499,30342,86.85970291991677,"Fish: frozen, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99"
5175,30283,75.09837217648727,"Fish: fresh or chilled, toothfish (Dissostichus spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99"
5002,290819,74.82407867259295,Phenol or phenol-alcohol derivatives containing only halogen substituents and their salts: other than pentachlorophenol (ISO)
4869,30791,73.05378197548845,"Molluscs: n.e.c. in heading 0307, whether in shell or not, includes flours, meals, and pellets of molluscs, fit for human consumption, live or fresh, chilled"
2495,30611,72.89165927347454,"Crustaceans: frozen, rock lobsters and other sea crawfish (Palinurus spp., Panulirus spp., Jasus spp.), in shell or not, smoked, cooked or not before or during smoking: in shell, cooked by steaming or by boiling in water"
